"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             1";"                             3";"                             4";"                             3";"                             0";"                             0";"                             1";"                             2"
;"137 Ekstraordinære udgifter i alt";"";"                            72";"                            94";"                            82";"                            83";"                            97";"                            22";"                            19";"                            24";"                            64"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            72";"                            77";"                            70";"                            59";"                            49";"                             9";"                             7";"                             2";"                            41"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                             7";"                             8";"                             6";"                             8";"                             3";"                             3";"                             2";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             0";"                            11";"                            25";"                             2";"                             0";"                             0";"                             8"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             4";"                             1";"                             1";"                             4";"                             0";"                             1";"                             0";"                             2"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             4";"                             3";"                             8";"                             2"
;"129.1 Afholdte udgifter";"";"                             1";"                             2";"                             1";"                             1";"                             4";"                             6";"                             5";"                             9";"                             4"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -1";"                            -3";"                            -2";"                            -1";"                            -1";"                            -1"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             0";"                             1";"                             3";"                             2";"                             1";"                             1";"                             2"
;"130.1 Afholdte udgifter";"";"                             1";"                             3";"                             3";"                             4";"                             7";"                             5";"                             3";"                             2";"                             4"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -1";"                            -3";"                            -2";"                            -3";"                            -4";"                            -3";"                            -2";"                            -1";"                            -3"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             1";"                             4";"                             0";"                             1";"                             7";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             3";"                             1";"                             1";"                             2";"                             1";"                             2";"                             3";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           520";"                           526";"                           527";"                           551";"                           600";"                           669";"                           704";"                           734";"                           608"
;"140 Overskud i alt";"";"                            29";"                            18";"                            15";"                            13";"                            10";"                            11";"                            15";"                            18";"                            13"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             2";"                             1";"                             1";"                             1";"                             2";"                             2";"                             4";"                             2"
;"140.2 Henlæggelser";"";"                            29";"                            16";"                            13";"                            11";"                             9";"                             9";"                            13";"                            14";"                            12"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           549";"                           544";"                           542";"                           563";"                           609";"                           680";"                           719";"                           751";"                           621"
"Nordjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                           213";"                            67";"                            46";"                            97";"                           191";"                           318";"                           377";"                           458";"                           200"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           158";"                           161";"                           177";"                           149";"                           135";"                           137";"                           135";"                           118";"                           146"
;"106 Ejendomsskatter";"";"                            20";"                            20";"                            27";"                            22";"                            21";"                            26";"                            19";"                            15";"                            23"
;"107 Vandafgift";"";"                            18";"                            17";"                            21";"                            22";"                            28";"                            21";"                            19";"                             8";"                            21"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             3";"                             4";"                             3";"                             3";"                             2";"                             1";"                             1";"                             2"
;"109 Renovation";"";"                            21";"                            21";"                            22";"                            21";"                            21";"                            23";"                            22";"                            21";"                            22"
;"110 Forsikringer";"";"                            14";"                             9";"                            10";"                            10";"                            11";"                            12";"                            11";"                            10";"                            11"
;"111 Afdelingens energiforbrug";"";"                            19";"                            11";"                            11";"                            14";"                            13";"                            13";"                            23";"                            23";"                            14"
;"112 Bidrag til boligorganisationen";"";"                            38";"                            37";"                            35";"                            36";"                            36";"                            41";"                            42";"                            40";"                            38"
;"112.1 Administrationsbidrag";"";"                            37";"                            35";"                            34";"                            34";"                            34";"                            38";"                            39";"                            37";"                            36"
;"112.2 Dispositionsfond";"";"                             1";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            28";"                            43";"                            46";"                            22";"                             1";"                             0";"                             0";"                             0";"                            16"
;"119.9 Variable udgifter i alt";"";"                            94";"                           103";"                           101";"                           103";"                           101";"                           100";"                           104";"                            98";"                           101"
;"114 Renholdelse";"";"                            56";"                            51";"                            49";"                            52";"                            57";"                            61";"                            62";"                            58";"                            56"
;"115 Almindelig vedligeholdelse";"";"                            30";"                            39";"                            34";"                            35";"                            30";"                            26";"                            28";"                            27";"                            31"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                            23";"                            96";"                            60";"                            48";"                            55";"                            56";"                            47";"                            21";"                            56"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -23";"                           -95";"                           -59";"                           -48";"                           -54";"                           -56";"                           -46";"                           -20";"                           -55"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            15";"                            15";"                            19";"                            20";"                            15";"                            15";"                            10";"                             5";"                            15"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -15";"                           -14";"                           -18";"                           -19";"                           -14";"                           -13";"                           -10";"                            -4";"                           -14"
;"118 Særlige aktiviteter";"";"                             2";"                             6";"                            11";"                            10";"                             6";"                             6";"                             7";"                             6";"                             8"
;"119 Diverse udgifter";"";"                             6";"                             5";"                             5";"                             5";"                             6";"                             5";"                             6";"                             6";"                             5"
;"124.8 Henlæggelser i alt";"";"                            61";"                            94";"                            91";"                            77";"                            79";"                            74";"                            73";"                            60";"                            79"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            51";"                            74";"                            71";"                            56";"                            55";"                            56";"                            58";"                            44";"                            59"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             9";"                            13";"                            14";"                            12";"                            10";"                             9";"                             9";"                             9";"                            11"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             4";"                             4";"                             6";"                             6";"                             5";"                             3";"                             5";"                             5"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             1";"                             1";"                             2";"                             2";"                             2";"                             0";"                             2";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             3";"                             3";"                             4";"                             4";"                             3";"                             2";"                             3";"                             3"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             1";"                             3";"                             2";"                             3";"                             7";"                             4";"                             3";"                             3";"                             4"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"137 Ekstraordinære udgifter i alt";"";"                            80";"                            89";"                            93";"                           105";"                            84";"                            32";"                            26";"                            23";"                            70"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            72";"                            72";"                            82";"                            73";"                            42";"                            18";"                            10";"                             4";"                            46"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                            11";"                             3";"                             9";"                             2";"                             2";"                             2";"                             0";"                             4"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             1";"                             2";"                             7";"                            22";"                             2";"                             1";"                             0";"                             6"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             6";"                             3";"                             2";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             1";"                             8";"                             5";"                             4";"                             6";"                             5";"                             4"
;"129.1 Afholdte udgifter";"";"                            13";"                             2";"                             2";"                            11";"                            20";"                             6";"                             9";"                             7";"                             9"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                           -13";"                            -1";"                            -1";"                            -3";"                           -14";"                            -2";"                            -3";"                            -2";"                            -5"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             1";"                             3";"                             5";"                             3";"                             1";"                             1";"                             2"
;"130.1 Afholdte udgifter";"";"                             5";"                             2";"                             2";"                             4";"                             8";"                             5";"                             3";"                             2";"                             4"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -5";"                            -1";"                            -1";"                            -2";"                            -3";"                            -2";"                            -2";"                            -0";"                            -2"
;"131 Andre renter";"";"                             1";"                             0";"                             1";"                             2";"                             1";"                             1";"                             1";"                             7";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             3";"                             0";"                             0";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             2";"                             2";"                             3";"                             2";"                             4";"                             3";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             2";"                             3";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           606";"                           513";"                           509";"                           530";"                           589";"                           662";"                           715";"                           757";"                           596"
;"140 Overskud i alt";"";"                            12";"                             7";"                            13";"                             6";"                            13";"                             8";"                            18";"                            23";"                            11"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             1";"                             2";"                             1";"                             2";"                             1";"                             3";"                             4";"                             2"
;"140.2 Henlæggelser";"";"                            12";"                             6";"                            11";"                             4";"                            11";"                             7";"                            15";"                            19";"                             9"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           618";"                           520";"                           522";"                           536";"                           602";"                           670";"                           733";"                           780";"                           607"
"Alle";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            16";"                            34";"                            39";"                            86";"                           186";"                           327";"                           385";"                           469";"                           188"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           217";"                           206";"                           208";"                           182";"                           156";"                           149";"                           152";"                           124";"                           172"
;"106 Ejendomsskatter";"";"                            43";"                            37";"                            38";"                            34";"                            31";"                            32";"                            29";"                            21";"                            33"
;"107 Vandafgift";"";"                            32";"                            27";"                            31";"                            30";"                            29";"                            21";"                            20";"                             8";"                            26"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            20";"                            22";"                            23";"                            22";"                            23";"                            25";"                            24";"                            21";"                            23"
;"110 Forsikringer";"";"                            10";"                            11";"                            11";"                            12";"                            12";"                            11";"                            11";"                            10";"                            11"
;"111 Afdelingens energiforbrug";"";"                            16";"                            14";"                            15";"                            19";"                            20";"                            16";"                            23";"                            21";"                            18"
;"112 Bidrag til boligorganisationen";"";"                            44";"                            45";"                            41";"                            41";"                            38";"                            43";"                            45";"                            43";"                            41"
;"112.1 Administrationsbidrag";"";"                            42";"                            43";"                            39";"                            39";"                            36";"                            41";"                            43";"                            41";"                            40"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            52";"                            50";"                            50";"                            24";"                             1";"                             0";"                             0";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                           111";"                           108";"                           114";"                           113";"                           114";"                           104";"                           108";"                            98";"                           110"
;"114 Renholdelse";"";"                            60";"                            59";"                            62";"                            63";"                            62";"                            59";"                            63";"                            56";"                            61"
;"115 Almindelig vedligeholdelse";"";"                            36";"                            34";"                            34";"                            32";"                            32";"                            26";"                            26";"                            23";"                            31"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                            86";"                           100";"                            85";"                            73";"                            76";"                            71";"                            61";"                            31";"                            74"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -86";"                           -98";"                           -84";"                           -73";"                           -76";"                           -70";"                           -61";"                           -30";"                           -74"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            18";"                            21";"                            19";"                            19";"                            18";"                            16";"                            15";"                             7";"                            17"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -18";"                           -20";"                           -18";"                           -18";"                           -16";"                           -15";"                           -14";"                            -7";"                           -16"
;"118 Særlige aktiviteter";"";"                             8";"                             8";"                            10";"                            10";"                            10";"                            10";"                            11";"                            10";"                            10"
;"119 Diverse udgifter";"";"                             6";"                             5";"                             6";"                             7";"                             7";"                             6";"                             7";"                             7";"                             6"
;"124.8 Henlæggelser i alt";"";"                           125";"                           125";"                           123";"                           112";"                           114";"                            92";"                            89";"                            70";"                           108"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            99";"                            98";"                            97";"                            86";"                            80";"                            70";"                            69";"                            53";"                            81"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             9";"                            13";"                            14";"                            14";"                            13";"                            13";"                            11";"                             9";"                            13"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            12";"                             9";"                             6";"                             5";"                             5";"                             3";"                             4";"                             4";"                             5"
;"122.1 Fælleskonto (konto 403)";"";"                             2";"                             3";"                             2";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            10";"                             7";"                             5";"                             4";"                             4";"                             3";"                             4";"                             3";"                             4"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             4";"                             4";"                             4";"                             7";"                             4";"                             4";"                             3";"                             5"
;"124 Andre henlæggelser (konto 406)";"";"                             1";"                             0";"                             2";"                             2";"                            10";"                             1";"                             0";"                             1";"                             3"
;"137 Ekstraordinære udgifter i alt";"";"                           109";"                            93";"                            87";"                            94";"                            97";"                            26";"                            18";"                            25";"                            70"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            87";"                            68";"                            70";"                            54";"                            36";"                            10";"                             5";"                             2";"                            39"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             4";"                             7";"                             8";"                             6";"                             6";"                             2";"                             2";"                             1";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             1";"                             1";"                            20";"                            33";"                             3";"                             0";"                             0";"                            12"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             1";"                             3";"                             2";"                             2";"                             6";"                             1";"                             0";"                             0";"                             2"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             2";"                             2";"                             4";"                             2"
;"129.1 Afholdte udgifter";"";"                             1";"                             1";"                             1";"                             2";"                             6";"                             3";"                             4";"                             6";"                             3"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -1";"                            -3";"                            -1";"                            -1";"                            -1";"                            -2"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
;"130.1 Afholdte udgifter";"";"                             4";"                             4";"                             3";"                             4";"                             7";"                             5";"                             3";"                             2";"                             5"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -3";"                            -3";"                            -3";"                            -5";"                            -4";"                            -2";"                            -1";"                            -4"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             8";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                            11";"                             9";"                             2";"                             3";"                             4";"                             1";"                             2";"                             1";"                             3"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             2";"                             1";"                             3";"                             3";"                             3";"                             3";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             1";"                             0";"                             1";"                             3";"                             2";"                             2";"                             1";"                             4";"                             2"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           577";"                           567";"                           571";"                           587";"                           667";"                           697";"                           752";"                           786";"                           647"
;"140 Overskud i alt";"";"                            21";"                            16";"                            16";"                            13";"                            12";"                            13";"                            17";"                            23";"                            15"
;"140.1 Afvikling af opsamlet underskud";"";"                             4";"                             3";"                             4";"                             3";"                             3";"                             3";"                             3";"                             5";"                             3"
;"140.2 Henlæggelser";"";"                            17";"                            13";"                            12";"                            10";"                             9";"                            10";"                            14";"                            18";"                            11"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           598";"                           583";"                           587";"                           600";"                           679";"                           710";"                           769";"                           809";"                           661"

