"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             1";"                             3";"                             4";"                             3";"                             1";"                             0";"                             0";"                             2"
;"137 Ekstraordinære udgifter i alt";"";"                            67";"                           104";"                            93";"                            95";"                           111";"                            24";"                            19";"                            17";"                            72"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            67";"                            93";"                            80";"                            68";"                            54";"                            12";"                             9";"                             4";"                            48"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                             7";"                             7";"                             5";"                             9";"                             3";"                             3";"                             3";"                             6"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             1";"                             1";"                            16";"                            38";"                             2";"                             1";"                             0";"                            12"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0"
;"129.1 Afholdte udgifter";"";"                             1";"                             2";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1";"                            -2";"                            -1";"                            -2";"                            -1"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             0";"                             1";"                             2";"                             2";"                             1";"                             2";"                             1"
;"130.1 Afholdte udgifter";"";"                             4";"                             3";"                             3";"                             5";"                             8";"                             5";"                             3";"                             3";"                             5"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -2";"                            -2";"                            -4";"                            -6";"                            -4";"                            -2";"                            -1";"                            -4"
;"131 Andre renter";"";"                             0";"                             1";"                             2";"                             2";"                             4";"                             1";"                             1";"                             2";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             2";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             3";"                             1"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                            -0";"                             0";"                            -0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           560";"                           565";"                           567";"                           586";"                           641";"                           702";"                           737";"                           760";"                           644"
;"140 Overskud i alt";"";"                            14";"                            10";"                            12";"                            13";"                             9";"                            13";"                            23";"                            13";"                            13"
;"140.1 Afvikling af opsamlet underskud";"";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"140.2 Henlæggelser";"";"                            12";"                            10";"                            11";"                            12";"                             7";"                            10";"                            20";"                            11";"                            11"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           574";"                           576";"                           579";"                           600";"                           650";"                           714";"                           759";"                           773";"                           657"
"Nordjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                           220";"                            67";"                            59";"                           104";"                           200";"                           327";"                           390";"                           492";"                           210"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           172";"                           171";"                           194";"                           155";"                           143";"                           145";"                           140";"                           126";"                           155"
;"106 Ejendomsskatter";"";"                            22";"                            22";"                            31";"                            23";"                            23";"                            26";"                            17";"                            15";"                            23"
;"107 Vandafgift";"";"                            23";"                            19";"                            22";"                            23";"                            29";"                            22";"                            18";"                            10";"                            22"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             3";"                             6";"                             3";"                             2";"                             2";"                             1";"                             2";"                             3"
;"109 Renovation";"";"                            23";"                            23";"                            24";"                            22";"                            22";"                            25";"                            24";"                            22";"                            23"
;"110 Forsikringer";"";"                            15";"                             9";"                            11";"                            10";"                            12";"                            12";"                            12";"                            10";"                            11"
;"111 Afdelingens energiforbrug";"";"                            19";"                            11";"                            12";"                            13";"                            14";"                            14";"                            24";"                            25";"                            15"
;"112 Bidrag til boligorganisationen";"";"                            39";"                            40";"                            39";"                            38";"                            40";"                            44";"                            44";"                            42";"                            41"
;"112.1 Administrationsbidrag";"";"                            38";"                            38";"                            38";"                            36";"                            38";"                            43";"                            42";"                            40";"                            39"
;"112.2 Dispositionsfond";"";"                             1";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            31";"                            45";"                            49";"                            23";"                             1";"                             0";"                             0";"                             0";"                            17"
;"119.9 Variable udgifter i alt";"";"                            82";"                           105";"                           109";"                           112";"                           112";"                           108";"                           113";"                           108";"                           109"
;"114 Renholdelse";"";"                            50";"                            54";"                            57";"                            58";"                            67";"                            68";"                            69";"                            66";"                            62"
;"115 Almindelig vedligeholdelse";"";"                            24";"                            37";"                            35";"                            36";"                            30";"                            26";"                            29";"                            30";"                            32"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             2";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                           152";"                            74";"                            63";"                            68";"                            51";"                            67";"                            54";"                            32";"                            61"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -152";"                           -74";"                           -61";"                           -67";"                           -51";"                           -66";"                           -53";"                           -32";"                           -60"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             0";"                             3";"                             1";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                             9";"                            16";"                            19";"                            21";"                            17";"                            15";"                            11";"                             6";"                            16"
;"117.2 Heraf dækkes af henlæggelser";"";"                            -9";"                           -15";"                           -19";"                           -19";"                           -16";"                           -14";"                           -10";"                            -6";"                           -15"
;"118 Særlige aktiviteter";"";"                             3";"                             9";"                             9";"                            10";"                             7";"                             6";"                             7";"                             6";"                             8"
;"119 Diverse udgifter";"";"                             5";"                             4";"                             5";"                             5";"                             7";"                             6";"                             7";"                             6";"                             6"
;"124.8 Henlæggelser i alt";"";"                            67";"                            95";"                           103";"                            84";"                            83";"                            79";"                            78";"                            63";"                            85"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            54";"                            76";"                            76";"                            57";"                            60";"                            61";"                            60";"                            47";"                            63"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            12";"                            17";"                            12";"                            11";"                             9";"                             9";"                             8";"                            11"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             4";"                             3";"                             7";"                             7";"                             5";"                             3";"                             3";"                             5"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             1";"                             2";"                             3";"                             3";"                             2";"                             1";"                             0";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             4";"                             2";"                             4";"                             4";"                             3";"                             3";"                             3";"                             3"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             3";"                             4";"                             5";"                             5";"                             4";"                             5";"                             4";"                             4"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             3";"                             3";"                             0";"                             0";"                             0";"                             0";"                             1"
;"137 Ekstraordinære udgifter i alt";"";"                            99";"                            92";"                            94";"                           118";"                           100";"                            39";"                            23";"                            21";"                            77"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            98";"                            83";"                            83";"                            85";"                            60";"                            25";"                            11";"                             8";"                            56"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                             5";"                             3";"                             9";"                             2";"                             2";"                             1";"                             1";"                             4"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             1";"                             3";"                             8";"                            22";"                             2";"                             0";"                            -1";"                             7"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             1";"                             7";"                             2";"                             2";"                             2";"                             2";"                             3"
;"129.1 Afholdte udgifter";"";"                            17";"                             2";"                             2";"                            12";"                            12";"                             5";"                             7";"                             6";"                             7"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                           -17";"                            -1";"                            -1";"                            -5";"                            -9";"                            -3";"                            -5";"                            -4";"                            -4"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             0";"                             3";"                             7";"                             2";"                             1";"                             0";"                             2"
;"130.1 Afholdte udgifter";"";"                             2";"                             3";"                             3";"                             6";"                            11";"                             6";"                             3";"                             2";"                             6"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -2";"                            -2";"                            -2";"                            -3";"                            -5";"                            -4";"                            -2";"                            -2";"                            -3"
;"131 Andre renter";"";"                             1";"                             1";"                             2";"                             3";"                             2";"                             2";"                             2";"                             6";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             0";"                             1";"                             2";"                             3";"                             1";"                             2";"                             3";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             3";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           640";"                           531";"                           559";"                           574";"                           637";"                           698";"                           743";"                           810";"                           636"
;"140 Overskud i alt";"";"                             4";"                             6";"                             7";"                             6";"                            10";"                            11";"                             9";"                            13";"                             9"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             1";"                             1"
;"140.2 Henlæggelser";"";"                             4";"                             5";"                             6";"                             4";"                             9";"                            10";"                             7";"                            12";"                             8"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           645";"                           536";"                           566";"                           579";"                           647";"                           710";"                           753";"                           823";"                           644"
"Alle";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            16";"                            38";"                            42";"                            84";"                           188";"                           335";"                           397";"                           503";"                           194"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           236";"                           219";"                           226";"                           197";"                           166";"                           156";"                           160";"                           133";"                           183"
;"106 Ejendomsskatter";"";"                            47";"                            40";"                            42";"                            38";"                            35";"                            34";"                            30";"                            23";"                            36"
;"107 Vandafgift";"";"                            38";"                            30";"                            34";"                            34";"                            31";"                            22";"                            22";"                             9";"                            28"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            21";"                            24";"                            24";"                            24";"                            24";"                            27";"                            26";"                            23";"                            25"
;"110 Forsikringer";"";"                            10";"                            10";"                            11";"                            12";"                            12";"                            11";"                            11";"                            10";"                            11"
;"111 Afdelingens energiforbrug";"";"                            17";"                            14";"                            16";"                            19";"                            21";"                            17";"                            24";"                            23";"                            19"
;"112 Bidrag til boligorganisationen";"";"                            46";"                            47";"                            43";"                            43";"                            40";"                            45";"                            47";"                            45";"                            44"
;"112.1 Administrationsbidrag";"";"                            44";"                            46";"                            42";"                            41";"                            38";"                            43";"                            45";"                            43";"                            42"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            56";"                            53";"                            54";"                            26";"                             1";"                             0";"                             0";"                             0";"                            20"
;"119.9 Variable udgifter i alt";"";"                           122";"                           115";"                           122";"                           122";"                           123";"                           111";"                           117";"                           106";"                           118"
;"114 Renholdelse";"";"                            68";"                            64";"                            68";"                            69";"                            68";"                            64";"                            68";"                            60";"                            67"
;"115 Almindelig vedligeholdelse";"";"                            39";"                            36";"                            36";"                            33";"                            33";"                            28";"                            28";"                            24";"                            32"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1"
;"116.1 Afholdte udgifter";"";"                           103";"                           104";"                           107";"                            93";"                            87";"                            84";"                            76";"                            46";"                            89"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -103";"                          -104";"                          -106";"                           -92";"                           -87";"                           -84";"                           -75";"                           -44";"                           -88"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
;"117.1 Afholdte udgifter";"";"                            20";"                            21";"                            20";"                            19";"                            19";"                            17";"                            16";"                             9";"                            18"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -20";"                           -20";"                           -20";"                           -19";"                           -18";"                           -16";"                           -15";"                            -8";"                           -17"
;"118 Særlige aktiviteter";"";"                             9";"                             8";"                            10";"                            12";"                            11";"                            11";"                            12";"                            12";"                            11"
;"119 Diverse udgifter";"";"                             6";"                             6";"                             6";"                             7";"                             8";"                             6";"                             7";"                             7";"                             7"
;"124.8 Henlæggelser i alt";"";"                           139";"                           134";"                           131";"                           123";"                           131";"                           103";"                            97";"                            73";"                           118"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           110";"                           106";"                           104";"                            94";"                            88";"                            78";"                            76";"                            56";"                            89"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            13";"                            15";"                            15";"                            14";"                            15";"                            12";"                             9";"                            14"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            12";"                             9";"                             6";"                             6";"                             6";"                             3";"                             5";"                             4";"                             6"
;"122.1 Fælleskonto (konto 403)";"";"                             2";"                             2";"                             2";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            10";"                             7";"                             5";"                             4";"                             5";"                             3";"                             4";"                             3";"                             4"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             6";"                             5";"                             4";"                             5";"                             7";"                             5";"                             5";"                             3";"                             5"
;"124 Andre henlæggelser (konto 406)";"";"                             1";"                             0";"                             1";"                             4";"                            17";"                             2";"                             0";"                             1";"                             5"
;"137 Ekstraordinære udgifter i alt";"";"                           121";"                           101";"                            97";"                           104";"                           114";"                            31";"                            19";"                            20";"                            79"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            96";"                            78";"                            78";"                            62";"                            46";"                            14";"                             7";"                             3";"                            46"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             3";"                             7";"                             8";"                             6";"                             6";"                             3";"                             2";"                             2";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             1";"                             3";"                             5";"                            25";"                            45";"                             4";"                             1";"                            -0";"                            16"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             1"
;"129.1 Afholdte udgifter";"";"                             1";"                             2";"                             1";"                             3";"                             4";"                             2";"                             3";"                             4";"                             2"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -2";"                            -2";"                            -2";"                            -2";"                            -3";"                            -2"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             0";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
;"130.1 Afholdte udgifter";"";"                             4";"                             5";"                             4";"                             5";"                             8";"                             6";"                             4";"                             3";"                             5"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -4";"                            -4";"                            -4";"                            -6";"                            -4";"                            -3";"                            -2";"                            -4"
;"131 Andre renter";"";"                             2";"                             1";"                             1";"                             2";"                             3";"                             1";"                             1";"                             5";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                            11";"                             9";"                             2";"                             3";"                             4";"                             2";"                             2";"                             1";"                             3"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             3";"                             4";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             5";"                             1";"                             1";"                             4";"                             3";"                             2";"                             2";"                             4";"                             2"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             2";"                             1";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           634";"                           607";"                           618";"                           631";"                           721";"                           735";"                           791";"                           835";"                           693"
;"140 Overskud i alt";"";"                            51";"                            11";"                            13";"                            12";"                            12";"                            14";"                            18";"                            20";"                            14"
;"140.1 Afvikling af opsamlet underskud";"";"                            10";"                             2";"                             2";"                             3";"                             3";"                             3";"                             3";"                             3";"                             3"
;"140.2 Henlæggelser";"";"                            41";"                             9";"                            11";"                             9";"                             9";"                            11";"                            15";"                            16";"                            11"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           685";"                           618";"                           631";"                           643";"                           733";"                           749";"                           808";"                           855";"                           707"

