"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
;"116.1 Afholdte udgifter";"";"                            90";"                            88";"                            91";"                           101";"                            94";"                            87";"                            84";"                            46";"                            16";"                            88"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -90";"                           -88";"                           -90";"                          -101";"                           -94";"                           -86";"                           -83";"                           -45";"                            -9";"                           -87"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             0";"                             1";"                             1";"                             2";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            38";"                            21";"                            26";"                            24";"                            25";"                            22";"                            18";"                            15";"                             3";"                            22"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -38";"                           -19";"                           -25";"                           -23";"                           -25";"                           -20";"                           -17";"                           -13";"                            -3";"                           -22"
;"118 Særlige aktiviteter";"";"                            11";"                             7";"                             8";"                            12";"                            10";"                             9";"                            10";"                             9";"                             4";"                            10"
;"119 Diverse udgifter";"";"                             8";"                             5";"                             6";"                             7";"                             8";"                             8";"                             7";"                             9";"                             6";"                             7"
;"124.8 Henlæggelser i alt";"";"                           182";"                           130";"                           136";"                           143";"                           140";"                           116";"                           112";"                            84";"                            64";"                           128"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           139";"                           103";"                           105";"                           106";"                            97";"                            89";"                            90";"                            65";"                            46";"                            96"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             0";"                            18";"                            20";"                            20";"                            17";"                            16";"                            13";"                            11";"                             5";"                            17"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            40";"                             5";"                             7";"                             9";"                            12";"                             6";"                             6";"                             5";"                            10";"                             8"
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             0";"                             1";"                             1";"                             3";"                             1";"                             1";"                             1";"                             1";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            37";"                             5";"                             6";"                             8";"                             9";"                             5";"                             5";"                             5";"                             9";"                             7"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             5";"                             3";"                             5";"                             8";"                             5";"                             4";"                             3";"                             1";"                             5"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             1";"                             3";"                             5";"                             0";"                             0";"                             0";"                             2";"                             2"
;"137 Ekstraordinære udgifter i alt";"";"                            74";"                           123";"                           121";"                           123";"                           128";"                            36";"                            24";"                            23";"                           122";"                            90"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            73";"                           100";"                            91";"                            85";"                            43";"                            18";"                            12";"                             5";"                            26";"                            52"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                            10";"                             9";"                             8";"                            11";"                             5";"                             4";"                             4";"                             3";"                             8"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             5";"                             5";"                            17";"                            59";"                             3";"                             2";"                             0";"                             0";"                            17"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             2";"                             1";"                             5";"                             3";"                             2";"                             2";"                             3";"                            57";"                             3"
;"129.1 Afholdte udgifter";"";"                             2";"                             5";"                             5";"                             8";"                            11";"                             8";"                             5";"                             8";"                            59";"                             8"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -3";"                            -4";"                            -2";"                            -8";"                            -7";"                            -3";"                            -5";"                            -2";"                            -5"
;"130 Tab ved fraflytning";"";"                             1";"                             2";"                             1";"                             2";"                             2";"                             3";"                             1";"                             1";"                             1";"                             2"
;"130.1 Afholdte udgifter";"";"                             1";"                             7";"                             6";"                             8";"                            10";"                            10";"                             5";"                             4";"                             1";"                             7"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -1";"                            -4";"                            -5";"                            -6";"                            -8";"                            -7";"                            -4";"                            -2";"                             0";"                            -6"
;"131 Andre renter";"";"                             0";"                             1";"                             1";"                             2";"                             2";"                             1";"                             1";"                             3";"                            28";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             2";"                             0";"                             0";"                             1";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             3";"                             2";"                             1";"                             3";"                             2";"                             2";"                             4";"                             0";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                            10";"                             1";"                             1";"                             2";"                             2";"                             2";"                             7";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             1";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           633";"                           626";"                           643";"                           654";"                           702";"                           764";"                           805";"                           822";"                           853";"                           710"
;"140 Overskud i alt";"";"                            44";"                            16";"                            17";"                            16";"                            15";"                            19";"                            18";"                            18";"                            61";"                            17"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1";"                             2";"                             2";"                            21";"                             1"
;"140.2 Henlæggelser";"";"                            44";"                            16";"                            16";"                            15";"                            13";"                            18";"                            16";"                            16";"                            40";"                            16"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           678";"                           642";"                           660";"                           670";"                           717";"                           783";"                           822";"                           840";"                           914";"                           728"
"Nordjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                           233";"                            77";"                            69";"                           111";"                           218";"                           331";"                           405";"                           522";"                           558";"                           223"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           199";"                           189";"                           207";"                           171";"                           153";"                           150";"                           152";"                           145";"                           103";"                           167"
;"106 Ejendomsskatter";"";"                            28";"                            26";"                            34";"                            28";"                            27";"                            26";"                            18";"                            17";"                             6";"                            26"
;"107 Vandafgift";"";"                            24";"                            20";"                            26";"                            24";"                            25";"                            17";"                            19";"                            10";"                            10";"                            21"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             3";"                             4";"                             3";"                             1";"                             2";"                             1";"                             2";"                             0";"                             2"
;"109 Renovation";"";"                            21";"                            24";"                            26";"                            23";"                            23";"                            26";"                            24";"                            23";"                            12";"                            24"
;"110 Forsikringer";"";"                            15";"                             9";"                            11";"                            10";"                            12";"                            12";"                            11";"                            10";"                             7";"                            11"
;"111 Afdelingens energiforbrug";"";"                            21";"                            13";"                            13";"                            16";"                            17";"                            16";"                            26";"                            33";"                            31";"                            18"
;"112 Bidrag til boligorganisationen";"";"                            57";"                            48";"                            46";"                            45";"                            47";"                            50";"                            52";"                            49";"                            37";"                            48"
;"112.1 Administrationsbidrag";"";"                            56";"                            46";"                            44";"                            43";"                            45";"                            47";"                            49";"                            47";"                            35";"                            46"
;"112.2 Dispositionsfond";"";"                             0";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            32";"                            46";"                            47";"                            23";"                             1";"                             0";"                             0";"                             0";"                             0";"                            17"
;"119.9 Variable udgifter i alt";"";"                           127";"                           122";"                           119";"                           126";"                           123";"                           127";"                           133";"                           129";"                            78";"                           125"
;"114 Renholdelse";"";"                            58";"                            63";"                            65";"                            66";"                            74";"                            77";"                            79";"                            78";"                            61";"                            71"
;"115 Almindelig vedligeholdelse";"";"                            57";"                            45";"                            38";"                            41";"                            33";"                            35";"                            35";"                            37";"                            10";"                            38"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             0";"                             1";"                             0";"                             1";"                             1";"                             1";"                             0";"                             1"
;"116.1 Afholdte udgifter";"";"                            24";"                            97";"                            84";"                            39";"                            55";"                            58";"                            67";"                            39";"                             7";"                            63"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -24";"                           -96";"                           -84";"                           -39";"                           -55";"                           -57";"                           -65";"                           -38";"                            -7";"                           -62"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             0";"                             0";"                             2";"                             0";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            11";"                            15";"                            16";"                            16";"                            16";"                            15";"                            12";"                             9";"                             2";"                            15"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -11";"                           -15";"                           -15";"                           -16";"                           -14";"                           -15";"                           -11";"                            -8";"                            -2";"                           -14"
;"118 Særlige aktiviteter";"";"                             5";"                             9";"                             9";"                            12";"                             8";"                             7";"                             9";"                             7";"                             4";"                             9"
;"119 Diverse udgifter";"";"                             7";"                             5";"                             5";"                             6";"                             7";"                             7";"                             7";"                             6";"                             3";"                             6"
;"124.8 Henlæggelser i alt";"";"                            65";"                            99";"                           116";"                           100";"                           103";"                           101";"                            84";"                            70";"                            46";"                            98"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            53";"                            77";"                            86";"                            70";"                            69";"                            75";"                            65";"                            55";"                            39";"                            72"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            13";"                            17";"                            15";"                            13";"                            10";"                             8";"                             8";"                             7";"                            12"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             4";"                             3";"                             5";"                             7";"                             6";"                             4";"                             3";"                             0";"                             5"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             2";"                             1";"                             2";"                             3";"                             3";"                             1";"                             1";"                             0";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             2";"                             1";"                             3";"                             4";"                             4";"                             3";"                             3";"                             0";"                             3"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             2";"                             4";"                             4";"                             8";"                             8";"                             6";"                             7";"                             3";"                             0";"                             6"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             5";"                             3";"                             7";"                             4";"                             0";"                             0";"                             0";"                             3"
;"137 Ekstraordinære udgifter i alt";"";"                            98";"                           106";"                           110";"                           147";"                           128";"                            52";"                            28";"                            24";"                            53";"                            93"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            97";"                            96";"                            77";"                            97";"                            73";"                            34";"                            12";"                             9";"                             0";"                            63"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                             6";"                             6";"                             6";"                             3";"                             3";"                             2";"                             2";"                             0";"                             4"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             1";"                             9";"                            23";"                             3";"                             0";"                             0";"                             0";"                             7"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             1";"                            20";"                             4";"                             4";"                             5";"                             1";"                             0";"                             5"
;"129.1 Afholdte udgifter";"";"                            15";"                             3";"                             3";"                            23";"                            16";"                             8";"                            13";"                            10";"                            26";"                            11"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                           -15";"                            -3";"                            -2";"                            -3";"                           -12";"                            -4";"                            -9";"                            -8";"                           -26";"                            -6"
;"130 Tab ved fraflytning";"";"                             0";"                             2";"                             1";"                             3";"                             5";"                             3";"                             3";"                             1";"                             0";"                             3"
;"130.1 Afholdte udgifter";"";"                             1";"                             5";"                             5";"                             9";"                            15";"                             9";"                             5";"                             4";"                             0";"                             8"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -1";"                            -3";"                            -4";"                            -5";"                           -10";"                            -6";"                            -2";"                            -3";"                             0";"                            -5"
;"131 Andre renter";"";"                             0";"                             0";"                             1";"                             1";"                             4";"                             1";"                             0";"                             1";"                            53";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                            18";"                             2";"                             1";"                             0";"                             0";"                             0";"                             0";"                             3"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             3";"                             6";"                            11";"                             2";"                             5";"                             8";"                             0";"                             5"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             1";"                             0";"                             4";"                             0";"                             1";"                             1";"                             0";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           722";"                           593";"                           620";"                           655";"                           725";"                           760";"                           802";"                           889";"                           838";"                           707"
;"140 Overskud i alt";"";"                             5";"                             8";"                            13";"                             9";"                             3";"                            14";"                            15";"                            16";"                            23";"                            10"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             0";"                             2";"                             0";"                            -7";"                             1";"                             1";"                             1";"                             0";"                            -1"
;"140.2 Henlæggelser";"";"                             5";"                             7";"                            11";"                             9";"                            10";"                            13";"                            14";"                            15";"                            23";"                            11"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           727";"                           600";"                           633";"                           664";"                           729";"                           774";"                           817";"                           904";"                           862";"                           717"
"Alle";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            18";"                            45";"                            45";"                            86";"                           186";"                           339";"                           414";"                           534";"                           436";"                           201"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           258";"                           239";"                           246";"                           211";"                           185";"                           171";"                           179";"                           153";"                           155";"                           201"
;"106 Ejendomsskatter";"";"                            56";"                            48";"                            50";"                            45";"                            42";"                            38";"                            35";"                            27";"                            33";"                            42"
;"107 Vandafgift";"";"                            33";"                            29";"                            34";"                            32";"                            32";"                            22";"                            23";"                             9";"                            10";"                            28"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            25";"                            26";"                            25";"                            25";"                            25";"                            28";"                            27";"                            24";"                            18";"                            26"
;"110 Forsikringer";"";"                            12";"                            12";"                            13";"                            12";"                            14";"                            12";"                            12";"                            11";"                            10";"                            12"
;"111 Afdelingens energiforbrug";"";"                            18";"                            16";"                            18";"                            21";"                            23";"                            18";"                            27";"                            29";"                            38";"                            21"
;"112 Bidrag til boligorganisationen";"";"                            55";"                            54";"                            50";"                            49";"                            47";"                            51";"                            55";"                            53";"                            45";"                            51"
;"112.1 Administrationsbidrag";"";"                            53";"                            52";"                            48";"                            47";"                            45";"                            49";"                            53";"                            51";"                            43";"                            49"
;"112.2 Dispositionsfond";"";"                             2";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            58";"                            54";"                            55";"                            26";"                             1";"                             0";"                             0";"                             0";"                             0";"                            20"
;"119.9 Variable udgifter i alt";"";"                           139";"                           131";"                           137";"                           136";"                           135";"                           128";"                           134";"                           118";"                           115";"                           133"
;"114 Renholdelse";"";"                            77";"                            73";"                            79";"                            79";"                            77";"                            74";"                            80";"                            70";"                            64";"                            77"
;"115 Almindelig vedligeholdelse";"";"                            43";"                            41";"                            39";"                            34";"                            36";"                            33";"                            33";"                            28";"                            39";"                            35"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             4";"                             1"
;"116.1 Afholdte udgifter";"";"                           106";"                           116";"                           105";"                            98";"                            92";"                            94";"                            86";"                            52";"                            17";"                            94"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -105";"                          -114";"                          -104";"                           -97";"                           -91";"                           -92";"                           -85";"                           -51";"                           -14";"                           -93"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            21";"                            21";"                            21";"                            18";"                            19";"                            18";"                            18";"                            11";"                             2";"                            18"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -19";"                           -20";"                           -20";"                           -18";"                           -18";"                           -17";"                           -17";"                           -11";"                            -2";"                           -18"
;"118 Særlige aktiviteter";"";"                            10";"                             9";"                            12";"                            14";"                            12";"                            10";"                            10";"                            10";"                             3";"                            11"
;"119 Diverse udgifter";"";"                             7";"                             6";"                             6";"                             7";"                             8";"                             7";"                             8";"                             8";"                             6";"                             7"
;"124.8 Henlæggelser i alt";"";"                           163";"                           152";"                           147";"                           143";"                           144";"                           125";"                           115";"                            88";"                            71";"                           136"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           127";"                           120";"                           119";"                           107";"                            99";"                            94";"                            90";"                            69";"                            52";"                           102"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            14";"                            17";"                            16";"                            14";"                            15";"                            14";"                            10";"                            10";"                            15"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            13";"                             9";"                             5";"                             5";"                             7";"                             4";"                             5";"                             4";"                             5";"                             6"
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             3";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            10";"                             6";"                             4";"                             4";"                             5";"                             3";"                             4";"                             3";"                             5";"                             4"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                            11";"                             8";"                             6";"                             7";"                            11";"                             8";"                             7";"                             5";"                             2";"                             8"
;"124 Andre henlæggelser (konto 406)";"";"                             1";"                             1";"                             1";"                             8";"                            13";"                             5";"                             0";"                             0";"                             1";"                             5"
;"137 Ekstraordinære udgifter i alt";"";"                           130";"                           116";"                           118";"                           134";"                           144";"                            45";"                            33";"                            30";"                           121";"                           100"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           103";"                            88";"                            89";"                            77";"                            53";"                            22";"                            11";"                             5";"                            11";"                            55"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             4";"                             9";"                             9";"                             7";"                             7";"                             5";"                             4";"                             2";"                             2";"                             6"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             3";"                             6";"                            31";"                            60";"                             6";"                             2";"                             0";"                             0";"                            21"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             1";"                             1";"                             1";"                             4";"                             3";"                             1";"                             2";"                             3";"                            27";"                             2"
;"129.1 Afholdte udgifter";"";"                             2";"                             4";"                             4";"                             7";"                            11";"                             6";"                             7";"                             9";"                            33";"                             7"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -3";"                            -3";"                            -4";"                            -8";"                            -5";"                            -5";"                            -6";"                            -6";"                            -5"
;"130 Tab ved fraflytning";"";"                             2";"                             2";"                             1";"                             2";"                             3";"                             3";"                             2";"                             2";"                             1";"                             2"
;"130.1 Afholdte udgifter";"";"                             9";"                             8";"                             7";"                             8";"                            12";"                            10";"                             7";"                             5";"                             2";"                             9"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -7";"                            -6";"                            -5";"                            -6";"                            -9";"                            -7";"                            -5";"                            -3";"                            -1";"                            -6"
;"131 Andre renter";"";"                             2";"                             0";"                             1";"                             2";"                             3";"                             1";"                             1";"                             5";"                            75";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                            11";"                             8";"                             4";"                             4";"                             4";"                             2";"                             2";"                             1";"                             0";"                             4"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             2";"                             3";"                             3";"                             2";"                             3";"                             2";"                             4";"                             9";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             3";"                             1";"                             4";"                             3";"                             4";"                             2";"                             6";"                             3";"                             4";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             3";"                             3";"                             1";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           707";"                           682";"                           693";"                           710";"                           794";"                           808";"                           875";"                           923";"                           897";"                           771"
;"140 Overskud i alt";"";"                            26";"                            16";"                            16";"                            16";"                            15";"                            20";"                            22";"                            25";"                           101";"                            18"
;"140.1 Afvikling af opsamlet underskud";"";"                             2";"                             3";"                             3";"                             3";"                             3";"                             3";"                             2";"                             2";"                            18";"                             3"
;"140.2 Henlæggelser";"";"                            23";"                            13";"                            13";"                            14";"                            12";"                            17";"                            20";"                            22";"                            82";"                            15"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           733";"                           698";"                           709";"                           727";"                           809";"                           829";"                           897";"                           948";"                           998";"                           789"

