"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             2";"                             1";"                             2";"                             0";"                             0";"                             0";"                             1"
;"137 Ekstraordinære udgifter i alt";"";"                            56";"                            76";"                            69";"                            66";"                            78";"                             9";"                             6";"                            24";"                            51"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            54";"                            63";"                            56";"                            43";"                            38";"                             2";"                             1";"                             1";"                            32"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                             7";"                             6";"                             3";"                             5";"                             2";"                             1";"                             1";"                             4"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             0";"                            10";"                            22";"                             1";"                             0";"                             0";"                             7"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             2";"                             2";"                             6";"                             5";"                             0";"                             0";"                             0";"                             3"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129.1 Afholdte udgifter";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
;"130.1 Afholdte udgifter";"";"                             2";"                             2";"                             2";"                             3";"                             4";"                             3";"                             2";"                             1";"                             3"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -2";"                            -1";"                            -1";"                            -2";"                            -3";"                            -2";"                            -1";"                            -1";"                            -2"
;"131 Andre renter";"";"                             0";"                             0";"                             1";"                             1";"                             3";"                             0";"                             1";"                            17";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             2";"                             2";"                             1";"                             2";"                             1";"                             1";"                             4";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             1";"                             0";"                             1";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           458";"                           453";"                           451";"                           481";"                           525";"                           587";"                           624";"                           607";"                           525"
;"140 Overskud i alt";"";"                            24";"                            17";"                            12";"                            12";"                            11";"                            11";"                            18";"                            46";"                            14"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             3";"                             2";"                             2";"                             3";"                             2";"                             2";"                             1";"                             2"
;"140.2 Henlæggelser";"";"                            24";"                            15";"                            10";"                            10";"                             8";"                             9";"                            16";"                            45";"                            11"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           482";"                           470";"                           463";"                           493";"                           537";"                           598";"                           642";"                           653";"                           539"
"Nordjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             6";"                            17";"                            33";"                            87";"                           181";"                           294";"                           345";"                           356";"                           168"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           161";"                           156";"                           158";"                           132";"                           119";"                           122";"                           115";"                           110";"                           131"
;"106 Ejendomsskatter";"";"                            22";"                            20";"                            25";"                            21";"                            22";"                            25";"                            17";"                            15";"                            22"
;"107 Vandafgift";"";"                            21";"                            20";"                            22";"                            22";"                            27";"                            23";"                            18";"                             9";"                            22"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             4";"                             4";"                             3";"                             4";"                             2";"                             1";"                             1";"                             3"
;"109 Renovation";"";"                            21";"                            19";"                            18";"                            17";"                            17";"                            20";"                            19";"                            19";"                            18"
;"110 Forsikringer";"";"                             7";"                             5";"                             6";"                             6";"                             7";"                             7";"                             7";"                             7";"                             6"
;"111 Afdelingens energiforbrug";"";"                            11";"                            10";"                            11";"                            12";"                            12";"                            12";"                            16";"                            23";"                            12"
;"112 Bidrag til boligorganisationen";"";"                            29";"                            31";"                            29";"                            29";"                            29";"                            34";"                            36";"                            37";"                            31"
;"112.1 Administrationsbidrag";"";"                            29";"                            29";"                            28";"                            27";"                            27";"                            31";"                            34";"                            35";"                            29"
;"112.2 Dispositionsfond";"";"                             0";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            49";"                            47";"                            43";"                            21";"                             1";"                             0";"                             0";"                             0";"                            16"
;"119.9 Variable udgifter i alt";"";"                            62";"                            85";"                            88";"                            88";"                            85";"                            87";"                            90";"                           102";"                            87"
;"114 Renholdelse";"";"                            34";"                            38";"                            44";"                            45";"                            47";"                            52";"                            53";"                            57";"                            47"
;"115 Almindelig vedligeholdelse";"";"                            21";"                            35";"                            31";"                            30";"                            24";"                            22";"                            23";"                            25";"                            27"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                            80";"                            77";"                            62";"                            52";"                            46";"                            51";"                            37";"                            19";"                            52"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -80";"                           -77";"                           -61";"                           -51";"                           -44";"                           -51";"                           -36";"                           -18";"                           -51"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                             6";"                            15";"                            15";"                            14";"                            15";"                            11";"                             7";"                             1";"                            13"
;"117.2 Heraf dækkes af henlæggelser";"";"                            -6";"                           -14";"                           -14";"                           -14";"                           -13";"                           -10";"                            -7";"                            -1";"                           -12"
;"118 Særlige aktiviteter";"";"                             2";"                             6";"                             7";"                             7";"                             5";"                             4";"                             5";"                            10";"                             6"
;"119 Diverse udgifter";"";"                             5";"                             5";"                             4";"                             5";"                             6";"                             6";"                             8";"                             9";"                             6"
;"124.8 Henlæggelser i alt";"";"                            50";"                            83";"                            73";"                            72";"                            63";"                            60";"                            63";"                            64";"                            68"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            43";"                            67";"                            57";"                            56";"                            48";"                            47";"                            52";"                            51";"                            53"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             7";"                            10";"                            10";"                            10";"                             8";"                             7";"                             8";"                             8";"                             9"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             4";"                             4";"                             5";"                             5";"                             4";"                             2";"                             3";"                             4"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             0";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             3";"                             3";"                             3";"                             4";"                             3";"                             2";"                             2";"                             3"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             0";"                             1";"                             1";"                             2";"                             2";"                             1";"                             2";"                             2";"                             1"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"137 Ekstraordinære udgifter i alt";"";"                           137";"                            74";"                            78";"                            71";"                            67";"                            18";"                            14";"                            26";"                            53"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           133";"                            57";"                            70";"                            52";"                            34";"                            10";"                             3";"                             0";"                            37"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             1";"                            11";"                             4";"                             6";"                             4";"                             3";"                             3";"                             1";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             1";"                             1";"                             6";"                            20";"                             0";"                             0";"                             0";"                             5"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             2";"                             0";"                             1";"                             3";"                             1";"                             1";"                             0";"                             1"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1";"                             4";"                             1"
;"129.1 Afholdte udgifter";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1";"                             2";"                             4";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                             0";"                            -0";"                            -0";"                            -0";"                            -2";"                            -0";"                            -1";"                            -1";"                            -1"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1"
;"130.1 Afholdte udgifter";"";"                             0";"                             1";"                             1";"                             2";"                             4";"                             2";"                             2";"                             0";"                             2"
;"130.2 Heraf dækkes af henlæggelser";"";"                             0";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1";"                            -1";"                            -0";"                            -1"
;"131 Andre renter";"";"                             3";"                             2";"                             2";"                             2";"                             2";"                             1";"                             1";"                             8";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                            13";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           416";"                           416";"                           430";"                           449";"                           516";"                           582";"                           627";"                           658";"                           508"
;"140 Overskud i alt";"";"                            21";"                            11";"                             9";"                             7";"                             8";"                             7";"                            12";"                            53";"                             9"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             2";"                             1";"                             2";"                             1";"                             1";"                             1";"                             2";"                             1"
;"140.2 Henlæggelser";"";"                            21";"                             9";"                             9";"                             5";"                             7";"                             6";"                            11";"                            52";"                             8"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           437";"                           426";"                           439";"                           456";"                           524";"                           588";"                           639";"                           712";"                           517"
"Alle";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            12";"                            21";"                            35";"                            83";"                           184";"                           307";"                           358";"                           340";"                           165"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           194";"                           186";"                           184";"                           161";"                           137";"                           132";"                           134";"                           118";"                           154"
;"106 Ejendomsskatter";"";"                            33";"                            32";"                            32";"                            30";"                            27";"                            27";"                            24";"                            22";"                            29"
;"107 Vandafgift";"";"                            32";"                            29";"                            29";"                            30";"                            29";"                            23";"                            20";"                            12";"                            27"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"109 Renovation";"";"                            17";"                            20";"                            20";"                            20";"                            21";"                            23";"                            22";"                            20";"                            21"
;"110 Forsikringer";"";"                            12";"                             7";"                             7";"                             7";"                             8";"                             7";"                             8";"                             8";"                             8"
;"111 Afdelingens energiforbrug";"";"                            14";"                            12";"                            13";"                            16";"                            18";"                            14";"                            20";"                            16";"                            16"
;"112 Bidrag til boligorganisationen";"";"                            38";"                            38";"                            35";"                            34";"                            33";"                            37";"                            39";"                            39";"                            35"
;"112.1 Administrationsbidrag";"";"                            36";"                            37";"                            33";"                            33";"                            31";"                            35";"                            37";"                            37";"                            34"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            48";"                            48";"                            46";"                            23";"                             1";"                             0";"                             0";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                            94";"                            94";"                           100";"                            97";"                            94";"                            88";"                            90";"                            89";"                            94"
;"114 Renholdelse";"";"                            49";"                            48";"                            52";"                            52";"                            49";"                            49";"                            52";"                            49";"                            50"
;"115 Almindelig vedligeholdelse";"";"                            32";"                            32";"                            33";"                            30";"                            28";"                            23";"                            22";"                            23";"                            28"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             1";"                             0";"                             1";"                             2";"                             1"
;"116.1 Afholdte udgifter";"";"                            74";"                            80";"                            78";"                            73";"                            65";"                            61";"                            46";"                            16";"                            67"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -74";"                           -79";"                           -77";"                           -73";"                           -64";"                           -60";"                           -45";"                           -15";"                           -66"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            18";"                            18";"                            16";"                            16";"                            15";"                            13";"                            11";"                             4";"                            15"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -18";"                           -18";"                           -15";"                           -15";"                           -14";"                           -13";"                           -10";"                            -4";"                           -14"
;"118 Særlige aktiviteter";"";"                             7";"                             6";"                             8";"                             9";"                             9";"                             8";"                             7";"                             7";"                             8"
;"119 Diverse udgifter";"";"                             6";"                             5";"                             6";"                             6";"                             6";"                             6";"                             7";"                             9";"                             6"
;"124.8 Henlæggelser i alt";"";"                            91";"                            98";"                            93";"                            88";"                            85";"                            71";"                            71";"                            78";"                            84"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            68";"                            75";"                            74";"                            69";"                            63";"                            55";"                            56";"                            55";"                            65"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             7";"                            11";"                            11";"                            12";"                            10";"                            11";"                             9";"                             8";"                            10"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            12";"                             9";"                             5";"                             4";"                             4";"                             2";"                             4";"                             8";"                             5"
;"122.1 Fælleskonto (konto 403)";"";"                             2";"                             2";"                             1";"                             1";"                             1";"                             0";"                             0";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            10";"                             7";"                             4";"                             4";"                             4";"                             2";"                             3";"                             7";"                             4"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             3";"                             2";"                             3";"                             4";"                             3";"                             2";"                             4";"                             3"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             0";"                             0";"                             3";"                             0";"                             0";"                             2";"                             1"
;"137 Ekstraordinære udgifter i alt";"";"                            89";"                            78";"                            71";"                            75";"                            67";"                            13";"                             9";"                            22";"                            54"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            81";"                            64";"                            58";"                            45";"                            26";"                             4";"                             2";"                             1";"                            33"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             5";"                             9";"                             7";"                             7";"                             4";"                             2";"                             2";"                             4";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             1";"                            17";"                            24";"                             1";"                             0";"                             0";"                             9"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             1";"                             1";"                             2";"                             4";"                             1";"                             0";"                             0";"                             2"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             2";"                             0"
;"129.1 Afholdte udgifter";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -1";"                            -0";"                            -0";"                            -1";"                            -0"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"130.1 Afholdte udgifter";"";"                             4";"                             3";"                             2";"                             3";"                             5";"                             3";"                             2";"                             2";"                             3"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -3";"                            -2";"                            -2";"                            -4";"                            -3";"                            -2";"                            -2";"                            -3"
;"131 Andre renter";"";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                            10";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             2";"                             1";"                             2";"                             2";"                             1";"                             3";"                             1"
;"134 Korrektion vedr. tidligere år";"";"                             1";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             3";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                            -0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                            -0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           481";"                           477";"                           483";"                           504";"                           567";"                           612";"                           663";"                           647";"                           551"
;"140 Overskud i alt";"";"                            16";"                            15";"                            13";"                            12";"                             9";"                            10";"                            16";"                            47";"                            12"
;"140.1 Afvikling af opsamlet underskud";"";"                             6";"                             3";"                             3";"                             2";"                             2";"                             2";"                             2";"                             2";"                             3"
;"140.2 Henlæggelser";"";"                            10";"                            12";"                            10";"                            10";"                             7";"                             8";"                            14";"                            45";"                            10"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           498";"                           492";"                           496";"                           516";"                           576";"                           622";"                           679";"                           695";"                           563"

