"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
;"116.1 Afholdte udgifter";"";"                            62";"                            93";"                            84";"                            95";"                            72";"                            97";"                            80";"                            45";"                            24";"                            81"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -62";"                           -93";"                           -84";"                           -95";"                           -72";"                           -95";"                           -78";"                           -44";"                           -22";"                           -81"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            34";"                            21";"                            27";"                            27";"                            25";"                            22";"                            20";"                            15";"                             6";"                            23"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -34";"                           -20";"                           -26";"                           -27";"                           -24";"                           -20";"                           -19";"                           -14";"                            -5";"                           -22"
;"118 Særlige aktiviteter";"";"                            10";"                             8";"                             9";"                            12";"                            11";"                            10";"                            10";"                            10";"                             3";"                            10"
;"119 Diverse udgifter";"";"                             8";"                             5";"                             5";"                             7";"                             8";"                             7";"                             7";"                             9";"                             7";"                             7"
;"124.8 Henlæggelser i alt";"";"                           194";"                           135";"                           143";"                           146";"                           144";"                           122";"                           117";"                            90";"                            89";"                           132"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           153";"                           107";"                           109";"                           109";"                            99";"                            94";"                            94";"                            70";"                            65";"                            99"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             0";"                            19";"                            21";"                            20";"                            16";"                            17";"                            13";"                            12";"                            16";"                            17"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            39";"                             5";"                             7";"                            10";"                            12";"                             6";"                             6";"                             5";"                             5";"                             8"
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             1";"                             1";"                             1";"                             3";"                             1";"                             1";"                             1";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            36";"                             5";"                             6";"                             8";"                             9";"                             5";"                             5";"                             5";"                             5";"                             7"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             2";"                             4";"                             4";"                             6";"                             8";"                             5";"                             4";"                             3";"                             3";"                             5"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             1";"                             2";"                             9";"                             0";"                             0";"                             0";"                             0";"                             2"
;"137 Ekstraordinære udgifter i alt";"";"                            76";"                           128";"                           129";"                           135";"                           140";"                            44";"                            26";"                            36";"                            42";"                            97"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            74";"                           100";"                            94";"                            97";"                            46";"                            20";"                            13";"                             6";"                            12";"                            55"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             0";"                            11";"                             9";"                             7";"                            12";"                             6";"                             4";"                             4";"                             5";"                             8"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             7";"                             5";"                            16";"                            64";"                             5";"                             2";"                             0";"                             0";"                            18"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             2";"                             3";"                             2";"                             4";"                             2";"                             2";"                             1";"                             3";"                            11";"                             3"
;"129.1 Afholdte udgifter";"";"                             2";"                             6";"                             6";"                             8";"                            10";"                             9";"                             5";"                            11";"                            28";"                             8"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -3";"                            -4";"                            -4";"                            -8";"                            -7";"                            -4";"                            -7";"                           -17";"                            -6"
;"130 Tab ved fraflytning";"";"                             1";"                             3";"                             2";"                             3";"                             3";"                             3";"                             1";"                             3";"                             0";"                             2"
;"130.1 Afholdte udgifter";"";"                             3";"                             6";"                             6";"                             7";"                            12";"                             8";"                             4";"                             5";"                             1";"                             7"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -2";"                            -3";"                            -5";"                            -4";"                            -9";"                            -5";"                            -3";"                            -2";"                            -1";"                            -5"
;"131 Andre renter";"";"                             0";"                             1";"                             3";"                             2";"                             4";"                             1";"                             1";"                             4";"                             9";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             1";"                             1";"                             0";"                             2";"                             0";"                             0";"                             0";"                             3";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             3";"                             2";"                             1";"                             3";"                             2";"                             3";"                             6";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                            11";"                             3";"                             2";"                             3";"                             1";"                            10";"                             3";"                             4"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             1";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           663";"                           646";"                           660";"                           673";"                           724";"                           786";"                           818";"                           854";"                           895";"                           732"
;"140 Overskud i alt";"";"                            43";"                            15";"                            21";"                            22";"                            18";"                            29";"                            27";"                            24";"                            48";"                            23"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             0";"                             2";"                             1";"                             1";"                             2";"                             2";"                             1";"                             2";"                             2"
;"140.2 Henlæggelser";"";"                            43";"                            14";"                            18";"                            21";"                            16";"                            27";"                            25";"                            23";"                            46";"                            21"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           706";"                           661";"                           681";"                           695";"                           742";"                           815";"                           845";"                           878";"                           943";"                           755"
"Nordjylland";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                           235";"                            77";"                            66";"                           106";"                           218";"                           329";"                           415";"                           529";"                           603";"                           223"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           202";"                           191";"                           212";"                           173";"                           150";"                           155";"                           159";"                           146";"                           128";"                           170"
;"106 Ejendomsskatter";"";"                            25";"                            27";"                            36";"                            28";"                            27";"                            27";"                            17";"                            16";"                            22";"                            27"
;"107 Vandafgift";"";"                            30";"                            21";"                            25";"                            23";"                            21";"                            19";"                            20";"                            12";"                             6";"                            21"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             2";"                             3";"                             2";"                             1";"                             2";"                             2";"                             2";"                             1";"                             2"
;"109 Renovation";"";"                            23";"                            25";"                            26";"                            23";"                            23";"                            26";"                            24";"                            23";"                            17";"                            24"
;"110 Forsikringer";"";"                            15";"                             9";"                            12";"                            10";"                            13";"                            13";"                            12";"                            11";"                             8";"                            11"
;"111 Afdelingens energiforbrug";"";"                            20";"                            13";"                            14";"                            17";"                            18";"                            17";"                            30";"                            32";"                            29";"                            18"
;"112 Bidrag til boligorganisationen";"";"                            56";"                            48";"                            47";"                            47";"                            47";"                            51";"                            53";"                            50";"                            45";"                            49"
;"112.1 Administrationsbidrag";"";"                            55";"                            46";"                            46";"                            45";"                            44";"                            49";"                            50";"                            48";"                            43";"                            46"
;"112.2 Dispositionsfond";"";"                             0";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            33";"                            47";"                            49";"                            22";"                             1";"                             0";"                             0";"                             0";"                             0";"                            18"
;"119.9 Variable udgifter i alt";"";"                           111";"                           124";"                           123";"                           123";"                           125";"                           129";"                           136";"                           124";"                           101";"                           126"
;"114 Renholdelse";"";"                            58";"                            64";"                            66";"                            65";"                            75";"                            78";"                            81";"                            75";"                            40";"                            71"
;"115 Almindelig vedligeholdelse";"";"                            39";"                            43";"                            40";"                            41";"                            34";"                            34";"                            36";"                            35";"                            16";"                            38"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             2";"                             1";"                             0";"                             0";"                             2";"                             1";"                             1";"                             3";"                             1"
;"116.1 Afholdte udgifter";"";"                            61";"                            84";"                            89";"                            55";"                            57";"                            59";"                            63";"                            43";"                           100";"                            65"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -61";"                           -82";"                           -88";"                           -55";"                           -57";"                           -57";"                           -62";"                           -42";"                           -97";"                           -64"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            15";"                            15";"                            16";"                            16";"                            16";"                            14";"                            13";"                             9";"                             1";"                            15"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -15";"                           -14";"                           -15";"                           -16";"                           -16";"                           -14";"                           -12";"                            -8";"                            -1";"                           -14"
;"118 Særlige aktiviteter";"";"                             5";"                             9";"                            10";"                            11";"                             8";"                             7";"                            10";"                             6";"                             4";"                             9"
;"119 Diverse udgifter";"";"                             9";"                             4";"                             5";"                             7";"                             8";"                             7";"                             7";"                             5";"                            37";"                             6"
;"124.8 Henlæggelser i alt";"";"                            70";"                           101";"                           114";"                           111";"                           111";"                           102";"                            88";"                            76";"                            63";"                           103"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            53";"                            81";"                            88";"                            72";"                            70";"                            74";"                            69";"                            61";"                            54";"                            74"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            11";"                            12";"                            15";"                            13";"                            10";"                            10";"                             8";"                             7";"                             7";"                            11"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             4";"                             4";"                             8";"                            12";"                             7";"                             4";"                             4";"                             1";"                             7"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             2";"                             2";"                             4";"                             7";"                             3";"                             1";"                             1";"                             1";"                             3"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             2";"                             2";"                             4";"                             4";"                             4";"                             3";"                             3";"                             0";"                             3"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             6";"                             4";"                             4";"                            10";"                            10";"                             7";"                             7";"                             4";"                             1";"                             7"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             2";"                             8";"                            10";"                             4";"                             0";"                             0";"                             0";"                             4"
;"137 Ekstraordinære udgifter i alt";"";"                           103";"                           111";"                           127";"                           145";"                           131";"                            68";"                            31";"                            30";"                            21";"                           101"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            98";"                            98";"                            74";"                            96";"                            77";"                            43";"                            13";"                            10";"                             8";"                            66"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             2";"                             7";"                            11";"                             7";"                             3";"                             3";"                             2";"                             2";"                             0";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             8";"                            29";"                            33";"                             4";"                             0";"                             0";"                             0";"                            13"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             4";"                             5";"                             2";"                             5";"                             6";"                             4";"                             0";"                             4"
;"129.1 Afholdte udgifter";"";"                            16";"                             4";"                             6";"                             8";"                            10";"                             8";"                            14";"                            11";"                             4";"                             8"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                           -16";"                            -3";"                            -2";"                            -2";"                            -7";"                            -4";"                            -8";"                            -6";"                            -4";"                            -5"
;"130 Tab ved fraflytning";"";"                             0";"                             1";"                             1";"                             2";"                             3";"                             2";"                             2";"                             1";"                             0";"                             2"
;"130.1 Afholdte udgifter";"";"                             0";"                             4";"                             5";"                             7";"                            15";"                             9";"                             6";"                             3";"                             3";"                             8"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -0";"                            -3";"                            -4";"                            -5";"                           -12";"                            -7";"                            -4";"                            -2";"                            -3";"                            -6"
;"131 Andre renter";"";"                             2";"                             1";"                             2";"                             1";"                             3";"                             1";"                             2";"                             2";"                            13";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                            23";"                             2";"                             1";"                             0";"                             0";"                             1";"                             0";"                             3"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             2";"                             1";"                             3";"                             6";"                             3";"                             4";"                             8";"                             1";"                             4"
;"134 Korrektion vedr. tidligere år";"";"                             0";"                             0";"                             3";"                             0";"                             3";"                             6";"                             1";"                             2";"                             0";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             1";"                             0";"                             0"
;"139 Udgifter i alt";"";"                           721";"                           604";"                           641";"                           659";"                           736";"                           784";"                           830";"                           904";"                           917";"                           722"
;"140 Overskud i alt";"";"                             2";"                             9";"                            12";"                            16";"                            13";"                            18";"                            16";"                            11";"                            20";"                            14"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             1";"                             2";"                             0";"                            -3";"                             1";"                             1";"                             0";"                             7";"                             0"
;"140.2 Henlæggelser";"";"                             2";"                             9";"                            10";"                            15";"                            16";"                            17";"                            15";"                            11";"                            13";"                            13"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           722";"                           613";"                           653";"                           675";"                           748";"                           802";"                           846";"                           916";"                           937";"                           735"
"Alle";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            18";"                            47";"                            45";"                            85";"                           189";"                           340";"                           420";"                           540";"                           503";"                           203"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           266";"                           246";"                           252";"                           219";"                           186";"                           176";"                           184";"                           158";"                           168";"                           206"
;"106 Ejendomsskatter";"";"                            58";"                            49";"                            51";"                            47";"                            43";"                            39";"                            35";"                            27";"                            39";"                            43"
;"107 Vandafgift";"";"                            34";"                            29";"                            33";"                            33";"                            29";"                            22";"                            22";"                            10";"                             7";"                            27"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             0";"                             1"
;"109 Renovation";"";"                            25";"                            27";"                            25";"                            25";"                            25";"                            29";"                            27";"                            24";"                            20";"                            26"
;"110 Forsikringer";"";"                            16";"                            13";"                            14";"                            14";"                            15";"                            13";"                            13";"                            12";"                            12";"                            14"
;"111 Afdelingens energiforbrug";"";"                            18";"                            17";"                            18";"                            22";"                            23";"                            19";"                            27";"                            29";"                            38";"                            21"
;"112 Bidrag til boligorganisationen";"";"                            55";"                            57";"                            53";"                            52";"                            49";"                            54";"                            59";"                            56";"                            51";"                            53"
;"112.1 Administrationsbidrag";"";"                            54";"                            55";"                            51";"                            50";"                            47";"                            52";"                            56";"                            53";"                            49";"                            51"
;"112.2 Dispositionsfond";"";"                             1";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            59";"                            55";"                            57";"                            27";"                             1";"                             0";"                             0";"                             0";"                             0";"                            20"
;"119.9 Variable udgifter i alt";"";"                           141";"                           130";"                           136";"                           136";"                           137";"                           127";"                           135";"                           119";"                           109";"                           133"
;"114 Renholdelse";"";"                            79";"                            74";"                            79";"                            79";"                            78";"                            74";"                            80";"                            70";"                            64";"                            77"
;"115 Almindelig vedligeholdelse";"";"                            44";"                            39";"                            37";"                            34";"                            36";"                            32";"                            33";"                            28";"                            32";"                            35"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                           108";"                           120";"                           110";"                           109";"                            90";"                            97";"                            89";"                            56";"                            27";"                            98"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -108";"                          -119";"                          -110";"                          -108";"                           -88";"                           -95";"                           -88";"                           -55";"                           -25";"                           -97"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            22";"                            22";"                            22";"                            20";"                            22";"                            19";"                            19";"                            13";"                             4";"                            20"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -22";"                           -21";"                           -20";"                           -19";"                           -20";"                           -18";"                           -17";"                           -12";"                            -3";"                           -19"
;"118 Særlige aktiviteter";"";"                            11";"                             9";"                            11";"                            13";"                            12";"                            11";"                            11";"                            11";"                             4";"                            12"
;"119 Diverse udgifter";"";"                             7";"                             6";"                             7";"                             8";"                             9";"                             7";"                             9";"                             9";"                             7";"                             8"
;"124.8 Henlæggelser i alt";"";"                           170";"                           156";"                           157";"                           148";"                           147";"                           131";"                           123";"                            96";"                            88";"                           141"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           133";"                           124";"                           127";"                           113";"                           104";"                            99";"                            96";"                            75";"                            63";"                           108"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            15";"                            17";"                            16";"                            14";"                            16";"                            14";"                            11";"                            14";"                            15"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            13";"                            10";"                             6";"                             6";"                             7";"                             4";"                             5";"                             4";"                             4";"                             6"
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             3";"                             2";"                             2";"                             2";"                             1";"                             1";"                             1";"                             1";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            10";"                             6";"                             4";"                             5";"                             5";"                             3";"                             4";"                             4";"                             3";"                             4"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                            11";"                             7";"                             6";"                             8";"                            11";"                             9";"                             8";"                             6";"                             5";"                             8"
;"124 Andre henlæggelser (konto 406)";"";"                             2";"                             0";"                             1";"                             5";"                            12";"                             4";"                             1";"                             1";"                             3";"                             4"
;"137 Ekstraordinære udgifter i alt";"";"                           129";"                           122";"                           125";"                           141";"                           154";"                            52";"                            37";"                            34";"                            63";"                           107"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           104";"                            92";"                            94";"                            81";"                            59";"                            25";"                            13";"                             5";"                             6";"                            58"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             7";"                            10";"                            10";"                             8";"                             8";"                             6";"                             4";"                             5";"                             2";"                             8"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             4";"                             7";"                            34";"                            61";"                             7";"                             3";"                             0";"                             0";"                            22"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             1";"                             2";"                             2";"                             1";"                             2";"                             3";"                             7";"                             2"
;"129.1 Afholdte udgifter";"";"                             2";"                             4";"                             5";"                             6";"                             9";"                             6";"                             7";"                            10";"                            19";"                             7"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -2";"                            -3";"                            -3";"                            -4";"                            -7";"                            -5";"                            -5";"                            -7";"                           -12";"                            -5"
;"130 Tab ved fraflytning";"";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             1";"                             2"
;"130.1 Afholdte udgifter";"";"                            11";"                             9";"                             7";"                             8";"                            13";"                            10";"                             8";"                             5";"                             2";"                             9"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -9";"                            -7";"                            -6";"                            -6";"                           -11";"                            -7";"                            -6";"                            -4";"                            -1";"                            -7"
;"131 Andre renter";"";"                             2";"                             1";"                             2";"                             3";"                             3";"                             1";"                             1";"                             5";"                            43";"                             2"
;"132 Ydelser vedr. driftsstøtte";"";"                            11";"                             8";"                             4";"                             4";"                             6";"                             2";"                             3";"                             1";"                             1";"                             4"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             4";"                             3";"                             2";"                             3";"                             3";"                             4";"                             7";"                             0";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             2";"                             1";"                             4";"                             3";"                             5";"                             3";"                             5";"                             7";"                             4";"                             4"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             2";"                             2";"                             0";"                             0";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           724";"                           701";"                           715";"                           729";"                           814";"                           826";"                           898";"                           947";"                           931";"                           791"
;"140 Overskud i alt";"";"                            28";"                            19";"                            19";"                            18";"                            19";"                            27";"                            30";"                            28";"                            64";"                            22"
;"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             3";"                             3";"                             3";"                             3";"                             4";"                             3";"                             2";"                             1";"                             3"
;"140.2 Henlæggelser";"";"                            26";"                            16";"                            16";"                            15";"                            16";"                            24";"                            27";"                            26";"                            63";"                            19"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           752";"                           720";"                           734";"                           747";"                           833";"                           853";"                           928";"                           975";"                           995";"                           813"

